问题/需求描述,附件,链接,相关人员,tag,描述性tag,分析和todo,社区todo,名字,声量,更新记录日期,备注,父记录
群晖共享问题,Clip_20251024_140438.png,https://community.zimaspace.com/t/solved-synology-smb-connection-error-eof/6495,,已定位/知晓,,,,fabex13,1,2025/10/24,用户自行排查,
2.3 客户端在win11 开启异常,Clip_20251024_151315.png,https://discord.com/channels/884667213326463016/1251135424303337524/1430819304248446998,@Jerry,重要,,"看起来像是安装ZT失败了,有一个教程是教如何打开内部的一个文件进行手动安装ZT,等我找出来",等rally 给方案,Jemm,1,2025/10/24,用户给了部分日志,
字体改进,Clip_20251027_104906.png,https://community.zimaspace.com/t/storage-view-temperature-font-graphical-gitch/6379,@Jerry,待/判断/中,,这应该是前端渲染问题 @Rally,,ASRTichy,1,2025/10/21,,
更明确的任务和事务 信息展示,image.png,https://community.zimaspace.com/t/ux-ui-improvement-s-in-dashboard/6385,@Leo Chen,R 需求,,任务中心功能在挺久之前的版本有做过规划，但由于成本不低被暂时搁置了，理解这是一个NAS普遍功能，也一直在roadmap中，会和团队成员沟通并确认开发排期后回复用户,,dropn9ne,1,2025/10/21,,
zimaos-search 强制索引需求,image.png,https://community.zimaspace.com/t/is-there-a-way-to-force-zimaos-ai-file-indexing/6196,@Leo Chen@Rally,待/判断/中,,,,blacksunix,1,2025/10/21,,
系统内很多地方对键盘操作支持度不友好，体验不统一。,image.png,https://community.zimaspace.com/t/apps-refresh-and-enter-action/6406?u=collin1113_99312,@Leo Chen,R 需求,体验优化,这个问题我们会尽量在2.0前后修复，@Nora(倪仁伟）已经在和前端沟通优化组件库设计，键盘支持理论上也在组件设计内,,generrosity,1,2025/10/20,,
ZVM 直接访问相关硬件,image.png,https://icewhale.feishu.cn/record/FlVwrzUT5e7tZPcSomMcE9YfnWh,cc @团队,R 需求,虚拟机,,,"SirWill,vipper_666",2,2025/10/20,zvm,
需要自定义 网盘的 名字,image.png,,@Leo Chen,R 需求,Files,已知晓，规划中,规划中,"Rosko,John",2,2025/10/20,,
应用分组，为了减少磁贴数量,image.png,https://icewhale.feishu.cn/record/BpqtrVahCeR5NXcuKwwcpOtTnif,@Leo Chen,R 需求,,这个会在2.0的dashboard改版中落地，不过不一定是分组，但会有类似的功能,,david,1,2025/10/21,,
应用商店，可显示具体版本号,image.png,https://community.zimaspace.com/t/appstore-display-version-information/6415?u=collin1113_99312,@Leo Chen,R 需求,App Store,会在后续App store 2.0中落地,,"SirWill,dropn9ne",2,2025/10/21,,
"这里的“Zima 存储”指的是 ZimaOS 本身。这里的文字指导可能有多义性：
用户的“感知局域网内的其他设备/ZimaOS 功能”确实是一个好建议。",image.png,,@Leo Chen,R 需求,体验优化,"1. 这个名称我们会在1.5.3或1.6版本中优化
2. 和Orca确认过，自动扫描局域网内设备的功能可以沿用至web侧，会考虑在1.6或后续版本中加入",,true911,1,2025/10/21,,
共享samba 前，可以给共享重命名共享，区别于文件夹原来的名称,image.png,https://community.zimaspace.com/t/renaming-a-folder-being-shared-causes-samba-issues/6426,@Leo Chen,R 需求,"Files, 体验优化",了解，这个会和开发讨论，近期可能不会实施,,SirWill,1,2025/10/21,,
客户端，重启ZimaOS 功能,image.png,https://community.zimaspace.com/t/mobile-ios-ipados-zima-client-reboot-shutdown-ability/6386,@田依可,R 需求,移动端,可以看情况加入，先和开发聊一聊吧 @田依可,,"dropn9ne,SirWill,piranin",3,2025/10/21,如果ZimaOS 遇到一些问题，重启可能解决这个问题。,
移除一些功能/图标,Clip_20251027_104944.png,https://community.zimaspace.com/t/unused-os-app-removal/3689/4?u=zima-giorgio,@Leo Chen,R 需求,,,roadmap ，6个月的尺度 插件可能？,maallen40,1,2025/10/21,,
非内网环境，向朋友分享文件,image.png,https://community.zimaspace.com/t/suggestions-how-to-share-files-to-external-people/6461,@Leo Chen,R 需求,,,share via link 优化,Hsh,1,2025/10/21,,
请判断网卡是否支持驱动,image.png,https://community.zimaspace.com/t/zimaos-installation-troubleshooting-guide/5016/2,@Jerry,R 驱动需求,,,,Leopold,1,2025/10/22,,
链路聚合,image.png,https://community.zimaspace.com/t/ethernet-link-aggregation/6468,@Jerry @Leo Chen,R 需求,,,,Heimwerkerking,1,2025/10/22,https://community.zimaspace.com/t/network-configuration-options/6482,
在存储空间计算方面，用户觉得困惑,"f05a9e3e792d13b86ff51a4ed86c79ebd89b1443.png,3bfc757c071ce72cab920b35fed48be203a5b15a.png,80071d2e5cba011915412b7726b1c50cf32f4e3e.png",https://community.zimaspace.com/t/storage-usage-monitoring/6489,@Leo Chen @Rally,已定位/知晓,,团队会整理、统一化此处的设计。,"建联
",andysam,1,2025/10/23,,
另一种内存 展示方式,image.webp,https://discord.com/channels/884667213326463016/1166619138521829396/1430812924565258330,@Leo Chen,R 需求,,,,GrimOak,1,2025/10/23,,
自行添加驱动需求。,Clip_20251024_153225.png,https://discord.com/channels/884667213326463016/1251135320825794640/1431183038477504634,@Jerry,R 需求,,不做,,Wunjox,1,2025/10/24,,
请求添加 mellanox MNPA19-XRT 驱动,Clip_20251024_154143.png,https://community.zimaspace.com/t/mellanox-mnpa19-xtr-drivers-are-missing/6525,@Jerry,R 驱动需求,,,,Wunjox,1,2025/10/24,,
脚本贡献（清理有备份的系统）,image.png,https://community.zimaspace.com/t/smart-zimaos-cleanup-script-safe-for-system-with-backups/6483,cc @团队,S 信号,,,,gelbuilding,1,2025/10/22,,
需要安全工具（企业版本）,image.png,https://community.zimaspace.com/t/security-tools-aka-antivirus-edr-agent-in-zimaos/6378,cc @团队,S 信号,,,追问,Harryd,1,2025/10/21,,
LDAP验证技术讨论,image.png,https://community.zimaspace.com/t/ldap-authentication/6449,cc @团队,S 信号,,,,"ASRTichy,SirWill,dropn9ne",3,2025/10/21,,
用户继续怀念 sharevialink,,https://discord.com/channels/884667213326463016/1251135424303337524/1429646908560773313,cc @团队,重要,,,等lauren 给节点,"catgirlash,SirWill,gochaddy",3,2025/10/21,https://community.zimaspace.com/t/missing-share-via-link/6221/3?u=zima-giorgio,
让虚拟机自动启动的方式,image.png,https://discord.com/channels/884667213326463016/1251135390203777124/1429395033047564289,cc @团队,Tips,,,,stevy,1,2025/10/21,,
备份并恢复RAID 阵列的案例,image.png,https://discord.com/channels/884667213326463016/1251135320825794640/1429503775726506024,cc @团队,Tips,,,考虑发内容,carchis,1,2025/10/21,,
从icloud 下载照片的docker,image.png,https://community.zimaspace.com/t/icloudpd-photos-downloader-installation/6375,cc @团队,S 信号,,,,f800r,1,2025/10/21,,
卸载CasaOS 后的清理工作。,Clip_20251027_103527.png,https://community.zimaspace.com/t/tidying-up-after-uninstalling-casaos/6535,cc @Link,R 需求,,,,MarkB,1,2025/10/27,,
SSD as Cache 的具体理由,Clip_20251027_113846.png,https://community.zimaspace.com/t/zimaos-nvme-cache-to-hdd-pool/5436/5?u=zima-giorgio,cc @Leo Chen,R 需求,,,,SirWill,1,2025/10/27,,
intel x710 驱动集成需求？,Clip_20251027_114819.png,https://community.zimaspace.com/t/for-those-who-have-an-install-that-have-sfp/6548/2,@Jerry,R 需求,,,,SirWill,1,2025/10/27,,
Win 版本Client 中，log file 中明文存储了SMB密码,Clip_20251027_120003.png,https://community.zimaspace.com/t/zclient-win-version-compatability/6389/3?u=zima-giorgio,@Rally,重要,,"已记录到bug list,下一版客户端修复",明确回复我们会修掉,generrosity,1,2025/10/27,,
网络优选以及更丰富的网络请求,Clip_20251027_155903.png,https://community.zimaspace.com/t/better-ways-to-manage-several-nics-ip-adresses-both-in-zimaos-and-in-the-zima-client/6542,@Leo Chen,R 需求,,,,payoyo,1,2025/10/27,网线也能优选,
暗色模式 for Files,image.png,https://discord.com/channels/884667213326463016/1251135320825794640/1432485884061679758,@Leo Chen,R 需求,,,,max,1,2025/10/27,but dark reader extension works nicely,
数据一致性问题,Clip_20251027_171655.png,https://community.zimaspace.com/t/data-corruption/6545,@Rally,重要,,"缩小问题范围,比如试着用小文件夹,小文件,测量文件一致性的工具的选择",,generrosity,1,2025/10/27,问到了一些信息。等待调查,
"USB 连接不支持的文件系统的盘时，YSK 可以看到磁盘，但是不能访问。Storage 页面未能出现。

@田依可 补充：单盘启用界面不能出现改盘。","6494727c057d842563963f65a8ba61e7d87dcd4b.png,69874edd87ea5280beefa45dff61cbd86bc67534.png,image.png",https://community.zimaspace.com/t/fresh-install-1-5-says-it-s-plus-but-wont-add-more-disk/6599/5,@田依可,已定位/知晓,,,,Lefizz,1,2025/10/29,,
"迁移位置后的体验，是否可优化？
1、存储显示一致性
2、更完善的文件路径选择
3、App 安装页面的路径提示",image.png,https://community.zimaspace.com/t/need-help-with-disks-and-files-path-change-after-migrating-location/6610,@Leo Chen,R 需求,"存储显示一致性, 更完善的文件路径选择",1. ,花了比较长的时间尝试弄明白这里的问题。这里还有一个文档需求@Link,Poni99,1,2025/10/29,有价值,
2FA/MFA 认证的功能请求,image.png,https://community.zimaspace.com/t/2fa-mfa-missing-timeline-for-implementation/6632/2,@Leo Chen,R 需求,,,,Ruben,1,2025/10/29,,
"虚拟机问题和 nextcloud 更新问题

solution: 
connect via ssh
 
cd /DATA/.casaos/apps/nextcloud (write the container name in the nextcloud section)
docker compose pull
docker compose up -d 

i solved the virtual machine problem in a different way 

truncate -s 0 /etc/libvirt/virtlogd.conf","image.png,image.png",https://discord.com/channels/884667213326463016/1251135424303337524/1432823319639494707,,已定位/知晓,,,,torrentsinan,1,2025/10/29,用户自行解决了问题。,
构建一个可以与安全启动（Custom 模式）配合工作的系统镜像。,"IMG_1867.webp,image.png",https://discord.com/channels/884667213326463016/1251135320825794640/1432769550612566168,@Jerry,R 需求,,,,"Hackaro,MjTech",2,2025/10/29,,
如果已经使用了VPN，iOS还能通过什么方式连接ZimaOS，ZimaOS 会采用其他打孔或者中继服务吗？,image.png,https://community.zimaspace.com/t/when-will-a-proper-hole-punching-relay-service-be-introduced-to-access-and-transfer-data-to-zimaos/6639/2,@Leo Chen,R 需求,,,询问运转发接受度。,Ruben,1,2025/10/30,,
"应用安装与权限相关的设置和建议。

",image.png,https://community.zimaspace.com/t/improve-folder-ownership-and-permission-handling-for-mounted-volumes/6642,@Leo Chen,R 需求,,,,sny,1,2025/10/30,,
文件App，显示ZimaOS-HD 未挂载。但是通过存储面板进入ZimaOS-HD，就能进入。,image.png,https://community.zimaspace.com/t/files-app-not-working-for-zimaos-hd-1-5-1-beta1/6644,@Rally,重要,,调查中,,SirWill,1,2025/10/30,,
用户报告说，迁移docker app 后，dashboard 丢失UI （1.5.1 beta）,"image.png,image.webp",http://私信,"@Rally
@Leo Chen",重要,功能 - migrate location(not migrate in Files app),调查中,,Slawek,1,2025/10/30,https://discord.com/channels/@me/1433388221227601972,
"用户说我们的局域网发现是基于mDNS 的，这个技术不能很好的兼容它的Deco 网络。他询问能不能有另一个机制在局域网发现ZimaOS。

同时，他提到，Client 使用remote ID 连接的时候，每次都必须输入账密。",image.png,https://community.zimaspace.com/t/connect-via-local-ip/6648/4,@Leo Chen,R 需求,,,会补充ip输入的,santhora,1,2025/10/31,,
1.5.0， 文件名包含英文逗号，就无法下载,image.png,https://community.zimaspace.com/t/unable-to-download-from-files-if-the-path-filename-has-a-comma-in-it/6658,@Ns2Kracy,已定位/知晓,,把逗号当成分隔符了,,ASRTichy,1,2025/10/31,giorgio复现了这个问题。,
Filses 中，路径的显示是有误导的。比如，在应用设置面板，如果想应用正确的USB 和 LAN sharing 位置，则路径应该加入 /media 的前缀,"image-1.webp,image.webp,image.png",https://discord.com/channels/884667213326463016/1251135390203777124/1432967428207415297,@Leo Chen,R 需求,,,,RedNumbers,1,2025/10/31,,
"自动运行脚本：

工作流：凌晨1点自动获取新游戏。（局域网缓存下载）",image.png,https://discord.com/channels/884667213326463016/1251135424303337524/1433549021930061986,@Leo Chen,R 需求,,,,Raster,1,2025/10/31,,
设备信息面板 n100 v1.5 中缺少信息,83e77c25444e79a29bf49c02b4dcdc7a42ea0a1a.jpeg,https://community.zimaspace.com/t/missing-info-in-device-info-panel-n100-v1-5/6679,@Rally,待/判断/中,,"zimaos主服务看起来没正常启动导致,等待用户回复",,allexxo,1,2025/11/03,,
添加定时重启功能,image.png,https://community.zimaspace.com/t/add-scheduled-restart-function/6675/2,@Leo Chen,R 需求,,,,VictorSal0,1,2025/11/03,,
SMB 问题,image.png,https://community.zimaspace.com/t/smb-share-stop-working-after-latest-beta-update/6685/,@Rally,已定位/知晓,FAQ - 1.5.1 beta-1,1.5.1会修复，原因是smb关于interface的参数需要删除，绑定了网口,,"Mikam74,Syko1,renatobasa88,bertybassett",4,2025/11/03,,
NFS GUI显示,,https://discord.com/channels/884667213326463016/1251135320825794640/1434742915237937252,@Leo Chen,R 需求,,,,mrn,1,2025/11/03,,
“迁移用户数据库”进度卡在 70%,image.png,https://community.zimaspace.com/t/migrating-user-database-stuck-at-70-percent/6681,@Dina（丁雯）,已定位/知晓,,"1. 迁移卡顿问题,排查中
2. 迁移服务会在系统启动后不再继续,已在151解决
3. 其他迁移问题会整理到152,预期会在152进行修复",,NASNoob,1,2025/11/03,"正在建联，邀请远程id
用户未提供id

用户反馈，1.5.1 中，问题似乎已经解决",
添加对 Realtek 网卡驱动程序 r8125 2.5G 的支持,image.png,https://community.zimaspace.com/t/add-suppot-for-realtek-network-driver-r8125-2-5g/6719,@Jerry,R 需求,,,,bpug,1,2025/11/03,,
部分设备无法进行局域网发现，希望解决 LAN Discovery 的异常。,image.png,https://community.zimaspace.com/t/lan-discovery-issue-on-zimaos/6739,@Rally @Jerry,待/判断/中,,,,,0,2025/11/04,"等待日志

用户未上传日志",
qbittorrent 搭配 Glueton 和 NordVPN VPN 的经验分享。,image.png,https://community.zimaspace.com/t/vpn-client-for-zima-os/5347/6?u=zima-giorgio,@Leo Chen,S 信号,,,,wiliamvj,1,2025/11/04,,
浏览器缓存导致的UI 异常。,73cc9cdd47df23d12eba60ffa7cd30da59b716a5.jpeg,https://community.zimaspace.com/t/solved-problem-restarting-zimaos-1-5-1-beta1/6721,@Rally,待/判断/中,,"前端问题,已记录,yuri在151尝试修复
检查以下三个弹窗,是否得到改善
1. 修改头像
2. 网络详细页
3. 系统重启按钮",,"scott492010,guywithjeep",2,2025/11/04,"引导用户清浏览器解决问题。但问题仍需定位。

有第2例
https://discord.com/channels/884667213326463016/1251135424303337524/1435801611913134211",
同步的需求。,image.png,https://community.zimaspace.com/t/local-folder-sync-in-files/5681/5,@Leo Chen,R 需求,,,,dropn9ne,1,2025/11/05,,
USB coral.io 驱动需求。,image.png,https://community.zimaspace.com/t/how-install-coral-apex-drivers-pci-working-for-frigate-on-zimaos/5004/14?u=zima-giorgio,@Jerry,R 需求,,,,mozimek,1,2025/11/05,,
系统及 FTP 协议的请求,image.png,https://community.zimaspace.com/t/ftp-server-app-or-tools/6342/4,@Leo Chen,R 需求,,,,snow2999,1,2025/11/05,,
备份行为的可预期性：定时备份,image.png,https://community.zimaspace.com/t/how-do-backups-work-in-detail-and-when-are-they-performed/6135/3,@Leo Chen,待/判断/中,,@Rally 现状是always 每天会备份一次。（zima storage 才能实时上报）,,"kkmachado,Juwa",2,2025/11/05,,
硬盘在Files中未显示,"67928c3e1fee7174a6c25c7d8630e070421a1d65.png,e96aaa4c02d3ebf23e727b912447a453723ca99b.png",https://community.zimaspace.com/t/display-problems-in-file-manager/6722,@Rally,重要,,"11-21：用户已经返回相关命令结果。

Rally： 预计1.5.2 beta 修复

等待用户回复
curl http://127.0.0.1/v2/local_storage/storages
通过这个命令检查用户的files返回的数据是前端问题还是后端问题
已定位是磁盘类型欠缺导致,会追加一个兜底的磁盘类型判断",,lucparrini,1,2025/11/05,,
父文件夹按钮的添加,image.png,https://discord.com/channels/884667213326463016/1251135320825794640/1435296164298752051,@Leo Chen,S 信号,,,,refreshfr,1,2025/11/05,,
给硬盘重命名，添加标签、描述等。,"image.png,image.png",https://discord.com/channels/884667213326463016/1251135424303337524/1435270870120796282,@Leo Chen,R 需求,,,,refreshfr,1,2025/11/05,,
用户反映，Plus 按钮 的message 对他不明确,image.png,https://community.zimaspace.com/t/lost-plus-after-curl-update/6606/14,@Leo Chen,R 需求,,,,MrMagoo,1,2025/11/05,,
Mergerfs 和 SnapRAID 呼声 的 新人头,image.png,https://community.zimaspace.com/t/mergerfs-and-snapraid-support-in-zimaos/5304/24,@Jerry @Leo Chen,R 需求,,,,"guy,vipper_666,gelbuilding,piranin,adammo",5,2025/11/06,https://community.zimaspace.com/t/support-for-mergerfs/6835,
ZC 用户的硬盘显示位置与预期不匹配,7945f550ee9b1caca8e9d2c98a1bd803310e011b.png,https://community.zimaspace.com/t/display-issue-of-the-zimacube-7th-bay-in-zimaos/6766/3,@Rally@Leo Chen,重要,,"local-storage.conf配置文件和pci错位,已回复用户
本地74 77未复现",,magic,1,2025/11/06,,
选择根目录备份的描述与预期不匹配。,"image.png,image.png",https://community.zimaspace.com/t/v-1-5-1-root-folder-backup-feature/6776,@Leo Chen@Rally,待/判断/中,,"想备份根目录,不知道是为啥,在问原因",,"gelbuilding,vipper_666",2,2025/11/06,,
SSD as cache 但没有讲理由，仅作记录,image.png,https://discord.com/channels/884667213326463016/1251135320825794640/1435694405938974821,@Leo Chen,S 信号,,,,"SwanRonson,Wunjox",2,2025/11/06,,
用户说，ISO 文件可能会导致这个问题，但img 不会。,image.png,https://discord.com/channels/884667213326463016/1251135424303337524/1435654286724956251,@Jerry @Rally,待/判断/中,,"和镜像安装没关
1. 是什么硬件,会导致系统盘信息没显示出来
2. 多次创raid,导致/media/Main-Storage路径已存在",,giganap,1,2025/11/06,,
系统安装在多个驱动器上？,image.png,https://community.zimaspace.com/t/mirrored-boot-drive-support/6786/2,@Leo Chen,R 需求,,,,marcuscmy,1,2025/11/06,,
计划性的s.m.a.r.t. test 和result 需求,"image.png,4c0b63694ef9cdb148cbcf70b1abe550107706da.png",https://community.zimaspace.com/t/configuring-smart-test-schedule-and-smart-results/6788,@Leo Chen,R 需求,,,,marcuscmy,1,2025/11/06,,
PC zima client 实现自动登录的需求,image.png,http://私信,@Leo Chen,R 需求,,,,JCS,1,2025/11/07,,
"AMD CPU ，widget 相关功耗和温度的显示支持

备注：用户说1.5.0 可以显示",image.png,https://community.zimaspace.com/t/i-am-using-an-amd-5700u-and-in-zima-os-the-temperature-and-power-consumption-are-not-displayed/4020/3?u=zima-giorgio,"@Leo Chen @Jerry
@Rally",待/判断/中,,,,LingYi2201,1,2025/11/07,,
DLAN 到 1.5.1 / beta 后不工作,"dlna 配置问题.mp4,image.png",https://community.zimaspace.com/t/dlna-config-1-5-1-beta/6666/2,@Rally,待/判断/中,,本地未复现，但是有个用户有解决方法，怀疑是inode错误，拷错配置文件,,"mane,king786,glexu,Ragnulf67",4,2025/11/07,"用户说与缓存无关。

Ragnulf67:

I deleted the file /mnt/overlay/upper_etc/minidlna.conf , reboot the system . And everything works again",
在新版VMware Pro（25H2）上，默认配置不兼容，需要改兼容性配置到,"34e98eec84e52390c8f9b253039f6adeacc120c8.jpeg,image.png",https://community.zimaspace.com/t/vmware-installation-procedure-doesnt-seem-to-work/6782/25,@Rally @Jerry,待/判断/中,,,,Mr.E,1,2025/11/07,,
iscsiadm 工具的添加请求,image.png,https://community.zimaspace.com/t/add-a-option-to-create-iscsi/4980/3,@Leo Chen,R 需求,,未来版本添加@Jerry,,avexel,1,2025/11/07,,
"虚拟机扩盘后，Plus 会丢失。

扩展系统盘，如何还能保留Plus",,https://community.zimaspace.com/t/plus-license-changed-to-community-edition-after-adding-ram-to-zimaos-vm/6792/5,@Jerry,S 信号,,硬盘信息是zimaos dc 获取的重要信息。虚拟机扩盘可能导致硬盘信息变化，导致dc变化,,setfx179,1,2025/11/07,,
网卡未正常列出。,db932282af427ffc3cd73e32b25bbb6e972d8ec1.png,https://community.zimaspace.com/t/new-server-fresh-zima-os-1-5-0-install-network/6814/2,@Rally,待/判断/中,,"三方设备网卡
lshw解析网卡失败",,SirWill,1,2025/11/10,,
路径覆盖问题。,image.png,https://community.zimaspace.com/t/lost-several-tb-of-folders/6812,@Rally,待/判断/中,,"描述的不清不楚,不知道在哪找回了数据,要继续追问",,jammz,1,2025/11/10,,
"切换到https 后，虚拟机无法正常工作。

（但是去掉s 后，能工作）",image.png,https://discord.com/channels/884667213326463016/1251135320825794640/1436455951631781999,@Dina（丁雯）,已定位/知晓,,存在该问题，原因是没有注册zvm https的端口和自签，等网关统一鉴权完成就能解决这个问题,,,0,2025/11/10,,
RAID 创建未成功，切换回自带系统可以创建,image.png,https://community.zimaspace.com/t/terramaster-f8-plus-raid-not-working/6820,@Rally,已定位/知晓,,"自身硬件问题,换槽后unraid和zima都能创raid",,yxyx999,1,2025/11/10,,
snapraid 是卡住他放弃OMV 的唯一理由。,image.png,https://community.zimaspace.com/t/mergerfs-and-snapraid-support-in-zimaos/5304/25,@Leo Chen,R 需求,,,,MrSkrumpkin,1,2025/11/10,,Mergerfs 和 SnapRAID 呼声 的 新人头
系统配置备份,image.png,https://community.zimaspace.com/t/backup-the-main-zimaos-configuration/6844,@Leo Chen,R 需求,,,,Mr.E,1,2025/11/10,,
"双路机器的兼容性需补充

1、 CPU 核心数量；温度；info 问题
2、 RAM info 问题","d8a230b122676382d9f1bf3300485699e1644744.png,37fc3979306a922a2154c60614fab2ef95b03c58.png,5aac2bf52a53abdaad913ebcb72b69f191d77197.jpeg",https://community.zimaspace.com/t/bug-incorrect-processing-of-dual-processor-setups/6847/2,@Jerry,R 需求,,,,marcuscmy,1,2025/11/10,,
设置了 SSH 仅使用公钥且无密码，但 SSH 登录时仍然要求输入密码。(also i setup ssh to only use pubkey and no pass but it still asks me for a password everytime i ssh in) 【ZIMAOS zimaos-general】 ,image.png,https://www.google.com/search?q=https://discord.com/channels/884667213326463016/1251135320825794640/1436274613255671858,@Jerry,S 信号,,,,Oblivionis,1,2025/11/11,,
在GUI 层面实现 ZimaOS 互联组网。,image.png,https://community.zimaspace.com/t/allowing-one-zimaos-instance-to-connect-to-another-via-zerotier/6848,@Leo Chen,R 需求,,,,marcuscmy,1,2025/11/11,,
"更清晰应用安装旅程

1、官方和三方App Store带来困惑
2、版本号显示
3、自定义安装旅程，回退受挫",image.png,https://community.zimaspace.com/t/app-store-confusion-clearly-identify-differences/6853,@Leo Chen,R 需求,,,,SirWill,1,2025/11/11,,
随系统启动的虚拟机,image.png,https://community.zimaspace.com/t/auto-start-a-vm-iniciar-vm-en-automatico/6860/2,@Jerry,R 需求,,,,lolero,1,2025/11/11,,
"涉及子账户 和 Zima Client 的权限控制与检查

","81cecafcc21f8e8d5b7afb43c2aeb42b78cd3d2f_2_1800x2400.jpeg,d02add46b932bbc0c36a913d5898e8b9dad16d98_2_1800x2400.jpeg",https://community.zimaspace.com/t/access-control-regarding-zima-client/6869/9,"@Jerry @Rally@Link 
cc@Vicky
@Leo Chen",修复中,,"ZimaOS 客户端尚未适配子账号的权限
jerry已回复",,Miles,1,2025/11/11,,
immich 的升级提示造成困惑,image.png,https://community.zimaspace.com/t/why-am-i-being-offered-an-update-that-is-a-big-downgrade/6865,@Rally,待/判断/中,,"升级完/安装完2.1.0,仍有immich更新提示
152-beta1再修复一轮,使得immich更新完不再显示",,SirWill,1,2025/11/11,,
"CasaOS 0.4.15， 电脑端/手机端都会：

描述：

在自定义应用的时候，会把上一个图标覆盖了。

用视频举个例子：
安装前：18个图标

安装 php-runtime:latest（自定义面板，CLI 方式），

问题：安装完成，还是18个图标（末位图标被覆盖

安装 tugtainer

问题：安装完成，还是18个图标（末位图标被覆盖",Weixin Videos2025-11-11_144541_376.mp4,https://github.com/IceWhaleTech/CasaOS/issues/2308,"@Link

@Rally",待/判断/中,,"ZimaOS 会在1.5.2修复
",,じ☆ve【 放下】*° ^_^....... （国内微信,1,2025/11/11,,
用户认为 禁用一些 功能可以 释放资源。,image.png,https://discord.com/channels/884667213326463016/1251135320825794640/1437613520496889950,@Leo Chen,R 需求,,,,jofraprez,1,2025/11/11,,
ZFS GUI 支持。快照支持。,"image.png,image.png",http://1.5 宣发视频,@Leo Chen,R 需求,,,,"eightfoldstories,cameronfrye5514",2,2025/11/11,,
"新装后，创建RAID 显示挂载点不为空。

相关目录无挂载点

https://community.zimaspace.com/t/issues-with-zimaos-hd-post-install-doesnt-grow-partition-path-lost-under-apps-doesnt-retain-settings-after-reboot/6855/6","image.png,image.png",https://youtu.be/olqdWlQQaUc?t=1511,"@Rally
@Jerry",已定位/知晓,,"看上去像是安装问题，系统启动时没有查找到data分区，建议用户重新安装一次，同时看到用户使用了LSI的 阵列卡，也有可能是驱动问题导致。
（重要信息见附件截图）",已经建议换盘安装，反馈是已经安装成功。,isotophe,1,2025/11/12,,
